instance,algo,ablation,time_limit_sec,runs,feasible_rate,UB_min,UB_mean,UB_std,runtime_mean_sec,runtime_std_sec,best_time_mean_sec,best_time_std_sec
DSJC1000.9,dsatur,baseline,3,2,1.0,299,299.0,0.0,54.31706617772579,0.0,54.31706617772579,0.0
DSJC1000.9,dsatur,baseline,60,2,1.0,299,299.0,0.0,36.90287636220455,0.8334944429610606,36.90287636220455,0.8334944429610606
DSJC1000.9,iterlp2_full,full,3,2,1.0,316,316.0,0.0,1127.5901445299387,0.0,0.0,0.0
DSJC1000.9,slo,baseline,3,2,1.0,316,316.0,0.0,1.569285370409489,0.0,1.569285370409489,0.0
DSJC250.9,dsatur,baseline,3,64,1.0,92,92.0,0.0,0.5927724761422724,0.22437783177903223,0.5927724761422724,0.22437783177903223
DSJC250.9,dsatur,baseline,43200,10,1.0,92,92.0,0.0,0.4029436782002449,0.0012175773152766228,0.4029436782002449,0.0012175773152766228
DSJC250.9,iterlp2_full,full,3,64,1.0,96,96.0,0.0,30.424458159599453,10.461772040874596,0.0,0.0
DSJC250.9,iterlp2_full,full,43200,10,1.0,86,86.8,0.42163702135578357,43622.61529939622,479.26568407365386,1099.413536787033,1059.5290158518894
DSJC250.9,slo,baseline,3,64,1.0,96,96.0,0.0,0.10631366516463456,0.03931014315719121,0.10631366516463456,0.03931014315719121
DSJC250.9,slo,baseline,43200,10,1.0,96,96.0,0.0,0.07612838745117181,0.0008910386327142383,0.07612838745117181,0.0008910386327142383
DSJC500.9,dsatur,baseline,3,46,1.0,170,170.0,0.0,4.953107574063798,2.1486948629477585,4.953107574063798,2.1486948629477585
DSJC500.9,iterlp2_full,full,3,46,1.0,172,172.0,0.0,218.42822412369043,146.41741885436366,0.0,0.0
DSJC500.9,slo,baseline,3,46,1.0,172,172.0,0.0,0.44440963378419046,0.16430347770909012,0.44440963378419046,0.16430347770909012
fpsol2.i.1,dsatur,baseline,6000,12,1.0,65,65.0,0.0,0.526358425617218,0.0010473265476251992,0.526358425617218,0.0010473265476251992
fpsol2.i.1,iterlp2_full,full,6000,12,1.0,65,65.0,0.0,6132.220083450277,14.82550258706906,0.0,0.0
fpsol2.i.1,slo,baseline,6000,12,1.0,65,65.0,0.0,0.027746528387069664,0.0004120517129461464,0.027746528387069664,0.0004120517129461464
inithx.i.1,dsatur,baseline,6000,12,1.0,54,54.0,0.0,1.5158282419045765,0.004204816996560821,1.5158282419045765,0.004204816996560821
inithx.i.1,iterlp2_full,full,6000,12,1.0,54,54.0,0.0,6768.406261203189,557.528253205849,0.0,0.0
inithx.i.1,slo,baseline,6000,12,1.0,54,54.0,0.0,0.04968692113955814,0.0018394980603200634,0.04968692113955814,0.0018394980603200634
myciel3,dsatur,baseline,5,7,1.0,4,4.0,0.0,0.0004245053444589286,2.553148351876056e-05,0.0004245053444589286,2.553148351876056e-05
myciel3,dsatur,baseline,10,12,1.0,4,4.0,0.0,0.00018138686815893335,9.228827053004065e-05,0.00018138686815893335,9.228827053004065e-05
myciel3,dsatur,baseline,300,4,1.0,4,4.0,0.0,0.0004487999999582,0.0,0.0004487999999582,0.0
myciel3,iterlp2_full,full,5,7,1.0,4,4.0,0.0,1.0349271286811148,0.9113602723608327,0.0,0.0
myciel3,iterlp2_full,full,10,12,1.0,4,4.0,0.0,1.7753575121363003,0.02889018097592394,0.0,0.0
myciel3,iterlp2_full,full,300,4,1.0,4,4.0,0.0,2.1456703379999453,0.0,0.0,0.0
myciel3,slo,baseline,5,7,1.0,4,4.0,0.0,0.00022838371140610002,9.81455419528243e-06,0.00022838371140610002,9.81455419528243e-06
myciel3,slo,baseline,10,12,1.0,4,4.0,0.0,0.0001622488101323,4.722980053709628e-05,0.0001622488101323,4.722980053709628e-05
myciel3,slo,baseline,300,4,1.0,4,4.0,0.0,0.0002182000002903,0.0,0.0002182000002903,0.0
myciel4,dsatur,baseline,5,7,1.0,5,5.0,0.0,0.0006358942815235143,7.61540519404173e-05,0.0006358942815235143,7.61540519404173e-05
myciel4,dsatur,baseline,10,12,1.0,5,5.0,0.0,0.00046406437953306663,9.430886889944142e-05,0.00046406437953306663,9.430886889944142e-05
myciel4,dsatur,baseline,300,4,1.0,5,5.0,0.0,0.0004681000000346,0.0,0.0004681000000346,0.0
myciel4,iterlp2_full,full,5,7,1.0,5,5.0,0.0,5.117970898747444,0.09973160874021746,0.0,0.0
myciel4,iterlp2_full,full,10,12,1.0,5,5.0,0.0,10.23876866698265,0.03798861366569849,0.0,0.0
myciel4,iterlp2_full,full,300,4,1.0,5,5.0,0.0,300.16667393199987,0.0,0.0,0.0
myciel4,slo,baseline,5,7,1.0,5,5.0,0.0,0.0004162788391113143,6.1288969916251515e-06,0.0004162788391113143,6.1288969916251515e-06
myciel4,slo,baseline,10,12,1.0,5,5.0,0.0,0.0003019149104753667,2.2549879288118218e-05,0.0003019149104753667,2.2549879288118218e-05
myciel4,slo,baseline,300,4,1.0,5,5.0,0.0,0.0003509999996822,0.0,0.0003509999996822,0.0
myciel5,dsatur,baseline,5,7,1.0,6,6.0,0.0,0.0023465465222086003,6.455038419283641e-05,0.0023465465222086003,6.455038419283641e-05
myciel5,dsatur,baseline,10,12,1.0,6,6.0,0.0,0.0017492547631262998,0.00010499689586577357,0.0017492547631262998,0.00010499689586577357
myciel5,dsatur,baseline,300,4,1.0,6,6.0,0.0,0.0017864999999801,0.0,0.0017864999999801,0.0
myciel5,iterlp2_full,full,5,7,1.0,6,6.0,0.0,5.103476179497583,0.08190197651426764,0.0,0.0
myciel5,iterlp2_full,full,10,12,1.0,6,6.0,0.0,10.372331003348032,0.1626088845419239,0.0,0.0
