instance,family,n,m,density,avg_deg,algo,ablation,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,runs,feasible_rate,UB_min,UB_mean,UB_std,runtime_mean_sec,best_time_mean_sec
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,dsatur,baseline,3,,,,,,,1,1.0,299,299.0,,54.31706617772579,54.31706617772579
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,dsatur,baseline,60,,,,,,,2,1.0,299,299.0,0.0,36.90287636220455,36.90287636220455
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,2,2,1e-06,1,1.0,316,316.0,,1127.5901445299387,0.0
DSJC1000.9,dimacs,1000,449449,0.8997977977977978,898.898,slo,baseline,3,,,,,,,1,1.0,316,316.0,,1.569285370409489,1.569285370409489
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,baseline,3,,,,,,,32,1.0,92,92.0,0.0,0.5927724761422724,0.5927724761422724
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,baseline,43200,,,,,,,5,1.0,92,92.0,0.0,0.4029436782002449,0.4029436782002449
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,2,2,1e-06,5,1.0,96,96.0,0.0,40.43706461638212,0.0
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,17,1.0,96,96.0,0.0,33.11958250359577,0.0
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,10,1.0,96,96.0,0.0,20.836443546414376,0.0
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,full,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,5,1.0,86,86.8,0.44721359549995715,43622.61529939622,1099.413536787033
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,baseline,3,,,,,,,32,1.0,96,96.0,0.0,0.10631366516463456,0.10631366516463456
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,baseline,43200,,,,,,,5,1.0,96,96.0,0.0,0.07612838745117181,0.07612838745117181
DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,dsatur,baseline,3,,,,,,,23,1.0,170,170.0,0.0,4.953107574063798,4.953107574063798
DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,2,2,1e-06,5,1.0,172,172.0,0.0,205.4721545651555,0.0
DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,5,4,1e-06,10,1.0,172,172.0,0.0,292.3050008751452,0.0
DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,iterlp2_full,full,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,8,1.0,172,172.0,0.0,134.17979665845633,0.0
DSJC500.9,dimacs,500,112437,0.9012985971943888,449.748,slo,baseline,3,,,,,,,23,1.0,172,172.0,0.0,0.44440963378419046,0.44440963378419046
fpsol2.i.1,dimacs,496,11654,0.0949332029977191,46.99193548387097,dsatur,baseline,6000,,,,,,,6,1.0,65,65.0,0.0,0.526358425617218,0.526358425617218
fpsol2.i.1,dimacs,496,11654,0.0949332029977191,46.99193548387097,iterlp2_full,full,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,6,1.0,65,65.0,0.0,6132.220083450277,0.0
fpsol2.i.1,dimacs,496,11654,0.0949332029977191,46.99193548387097,slo,baseline,6000,,,,,,,6,1.0,65,65.0,0.0,0.027746528387069664,0.027746528387069664
inithx.i.1,dimacs,864,18707,0.0501775674863739,43.30324074074074,dsatur,baseline,6000,,,,,,,6,1.0,54,54.0,0.0,1.5158282419045765,1.5158282419045765
inithx.i.1,dimacs,864,18707,0.0501775674863739,43.30324074074074,iterlp2_full,full,6000,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,6,1.0,54,54.0,0.0,6768.406261203189,0.0
inithx.i.1,dimacs,864,18707,0.0501775674863739,43.30324074074074,slo,baseline,6000,,,,,,,6,1.0,54,54.0,0.0,0.04968692113955814,0.04968692113955814
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,dsatur,baseline,5,,,,,,,3,1.0,4,4.0,0.0,0.0004180421431858666,0.0004180421431858666
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,dsatur,baseline,10,,,,,,,6,1.0,4,4.0,0.0,0.00018138686815893335,0.00018138686815893335
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,dsatur,baseline,300,,,,,,,2,1.0,4,4.0,0.0,0.0004487999999582,0.0004487999999582
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,iterlp2_full,full,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,3,1.0,4,4.0,0.0,1.197479099035263,0.0
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,iterlp2_full,full,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,6,1.0,4,4.0,0.0,1.7753575121363003,0.0
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,iterlp2_full,full,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,1.0,4,4.0,0.0,2.1456703379999453,0.0
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,slo,baseline,5,,,,,,,3,1.0,4,4.0,0.0,0.00023089597622546665,0.00023089597622546665
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,slo,baseline,10,,,,,,,6,1.0,4,4.0,0.0,0.0001622488101323,0.0001622488101323
myciel3,dimacs,11,20,0.3636363636363636,3.636363636363636,slo,baseline,300,,,,,,,2,1.0,4,4.0,0.0,0.0002182000002903,0.0002182000002903
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,dsatur,baseline,5,,,,,,,3,1.0,5,5.0,0.0,0.0006489753723144001,0.0006489753723144001
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,dsatur,baseline,10,,,,,,,6,1.0,5,5.0,0.0,0.00046406437953306663,0.00046406437953306663
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,dsatur,baseline,300,,,,,,,2,1.0,5,5.0,0.0,0.0004681000000346,0.0004681000000346
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,iterlp2_full,full,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,3,1.0,5,5.0,0.0,5.1374994193514185,0.0
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,iterlp2_full,full,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,6,1.0,5,5.0,0.0,10.23876866698265,0.0
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,iterlp2_full,full,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,1.0,5,5.0,0.0,300.16667393199987,0.0
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,slo,baseline,5,,,,,,,3,1.0,5,5.0,0.0,0.00041745354731876667,0.00041745354731876667
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,slo,baseline,10,,,,,,,6,1.0,5,5.0,0.0,0.0003019149104753667,0.0003019149104753667
myciel4,dimacs,23,71,0.2806324110671936,6.173913043478261,slo,baseline,300,,,,,,,2,1.0,5,5.0,0.0,0.0003509999996822,0.0003509999996822
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,dsatur,baseline,5,,,,,,,3,1.0,6,6.0,0.0,0.0023575772841771332,0.0023575772841771332
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,dsatur,baseline,10,,,,,,,6,1.0,6,6.0,0.0,0.0017492547631262998,0.0017492547631262998
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,dsatur,baseline,300,,,,,,,2,1.0,6,6.0,0.0,0.0017864999999801,0.0017864999999801
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,iterlp2_full,full,5,smallest_last,prefix_shrink+rounded_support,0.25,5,1,1e-06,3,1.0,6,6.0,0.0,5.117633608480294,0.0
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,iterlp2_full,full,10,smallest_last,prefix_shrink+rounded_support,0.25,20,16,1e-06,6,1.0,6,6.0,0.0,10.372331003348032,0.0
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,iterlp2_full,full,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,1.0,6,6.0,0.0,300.3028456449997,0.0
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,slo,baseline,5,,,,,,,3,1.0,6,6.0,0.0,0.0010525807738303334,0.0010525807738303334
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,slo,baseline,10,,,,,,,6,1.0,6,6.0,0.0,0.0007926250497499667,0.0007926250497499667
myciel5,dimacs,47,236,0.2183163737280296,10.04255319148936,slo,baseline,300,,,,,,,2,1.0,6,6.0,0.0,0.0007120000000213,0.0007120000000213
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,dsatur,baseline,300,,,,,,,2,1.0,7,7.0,0.0,0.0084844000002703,0.0084844000002703
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,iterlp2_full,full,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,1.0,7,7.0,0.0,300.5218157070003,0.0
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,slo,baseline,300,,,,,,,2,1.0,7,7.0,0.0,0.0021176999998715,0.0021176999998715
myciel7,dimacs,191,2360,0.1300633783411408,24.712041884816752,dsatur,baseline,300,,,,,,,2,1.0,8,8.0,0.0,0.0423924990000159,0.0423924990000159
myciel7,dimacs,191,2360,0.1300633783411408,24.712041884816752,iterlp2_full,full,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,1.0,8,8.0,0.0,302.0608118549999,0.0
myciel7,dimacs,191,2360,0.1300633783411408,24.712041884816752,slo,baseline,300,,,,,,,2,1.0,8,8.0,0.0,0.0054570000002058,0.0054570000002058
