instance,algo,ablation,runs
DSJC1000.9,dsatur,baseline,4
DSJC1000.9,iterlp2_full,full,2
DSJC1000.9,slo,baseline,2
DSJC250.9,dsatur,baseline,74
DSJC250.9,iterlp2_full,full,74
DSJC250.9,slo,baseline,74
DSJC500.9,dsatur,baseline,46
DSJC500.9,iterlp2_full,full,46
DSJC500.9,slo,baseline,46
fpsol2.i.1,dsatur,baseline,12
fpsol2.i.1,iterlp2_full,full,12
fpsol2.i.1,slo,baseline,12
inithx.i.1,dsatur,baseline,12
inithx.i.1,iterlp2_full,full,12
inithx.i.1,slo,baseline,12
myciel3,dsatur,baseline,23
myciel3,iterlp2_full,full,23
myciel3,slo,baseline,23
myciel4,dsatur,baseline,23
myciel4,iterlp2_full,full,23
myciel4,slo,baseline,23
myciel5,dsatur,baseline,23
myciel5,iterlp2_full,full,23
myciel5,slo,baseline,23
myciel6,dsatur,baseline,4
myciel6,iterlp2_full,full,4
myciel6,slo,baseline,4
myciel7,dsatur,baseline,4
myciel7,iterlp2_full,full,4
myciel7,slo,baseline,4
