instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,dsatur,0,300,,,,,,,2,4,2,True,0,0.00044879999995828257,0,baseline,0.00044879999995828257,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,slo,0,300,,,,,,,2,4,2,True,0,0.00021820000029038056,0,baseline,0.00021820000029038056,0,
myciel3,dimacs,11,20,0.36363636363636365,3.6363636363636362,iterlp2_full,0,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,4,2,True,0,2.1456703379999453,9,stalled_at_K_eq_ceil_zLP,0.0,0,full
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,dsatur,0,300,,,,,,,2,5,3,True,0,0.0004681000000346103,0,baseline,0.0004681000000346103,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,slo,0,300,,,,,,,2,5,3,True,0,0.0003509999996822444,0,baseline,0.0003509999996822444,0,
myciel4,dimacs,23,71,0.28063241106719367,6.173913043478261,iterlp2_full,0,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,5,3,True,0,300.16667393199987,1141,time_limit,0.0,0,full
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,dsatur,0,300,,,,,,,2,6,4,True,0,0.0017864999999801512,0,baseline,0.0017864999999801512,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,slo,0,300,,,,,,,2,6,4,True,0,0.0007120000000213622,0,baseline,0.0007120000000213622,0,
myciel5,dimacs,47,236,0.2183163737280296,10.042553191489361,iterlp2_full,0,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,6,4,True,0,300.3028456449997,747,time_limit,0.0,0,full
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,dsatur,0,300,,,,,,,2,7,5,True,0,0.008484400000270398,0,baseline,0.008484400000270398,0,
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,slo,0,300,,,,,,,2,7,5,True,0,0.0021176999998715473,0,baseline,0.0021176999998715473,0,
myciel6,dimacs,95,755,0.1690929451287794,15.894736842105264,iterlp2_full,0,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,7,5,True,0,300.5218157070003,322,time_limit,0.0,0,full
myciel7,dimacs,191,2360,0.13006337834114082,24.712041884816752,dsatur,0,300,,,,,,,2,8,6,True,0,0.04239249900001596,0,baseline,0.04239249900001596,0,
myciel7,dimacs,191,2360,0.13006337834114082,24.712041884816752,slo,0,300,,,,,,,2,8,6,True,0,0.0054570000002058805,0,baseline,0.0054570000002058805,0,
myciel7,dimacs,191,2360,0.13006337834114082,24.712041884816752,iterlp2_full,0,300,smallest_last,prefix_shrink+rounded_support,0.25,10,4,1e-06,2,8,6,True,0,302.0608118549999,90,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.3410419002175331,0,baseline,0.3410419002175331,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.06087405979633331,0,baseline,0.06087405979633331,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,34,96,62,True,0,19.04565791785717,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,3,,,,,,,34,92,58,True,0,0.406611867249012,0,baseline,0.406611867249012,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,3,,,,,,,34,96,62,True,0,0.0747336745262146,0,baseline,0.0747336745262146,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,34,96,62,True,0,23.549715012311935,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,1,3,,,,,,,34,92,58,True,0,0.3531506732106209,0,baseline,0.3531506732106209,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,1,3,,,,,,,34,96,62,True,0,0.06116466969251633,0,baseline,0.06116466969251633,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,1,3,smallest_last,prefix_shrink+rounded_support,0.25,30,32,1e-06,34,96,62,True,0,18.761653281748295,0,time_limit,0.0,0,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,1,3,,,,,,,34,92,58,True,0,0.4086163640022278,0,baseline,0.4086163640022278,0,
