instance,algo,time_limit_sec,ablation,UB_mean,UB_min,UB_std,best_time_mean_sec,best_time_std_sec,feasible_rate,runs,runtime_mean_sec,runtime_std_sec
DSJC1000.9,dsatur,3,baseline,299.0,299,,54.31706617772579,,1.0,1,54.31706617772579,
DSJC1000.9,dsatur,60,baseline,299.0,299,0.0,36.90287636220455,0.8334944429610606,1.0,2,36.90287636220455,0.8334944429610606
DSJC1000.9,iterlp2_full,3,full,316.0,316,,0.0,,1.0,1,1127.5901445299387,
DSJC1000.9,slo,3,baseline,316.0,316,,1.569285370409489,,1.0,1,1.569285370409489,
DSJC250.9,dsatur,3,baseline,92.0,92,0.0,0.5927724761422724,0.22618009231202646,1.0,32,0.5927724761422724,0.22618009231202646
DSJC250.9,dsatur,43200,baseline,92.0,92,0.0,0.4029436782002449,0.0012914357643765146,1.0,5,0.4029436782002449,0.0012914357643765146
DSJC250.9,iterlp2_full,3,full,96.0,96,0.0,0.0,0.0,1.0,32,30.424458159599453,10.545803688319245
DSJC250.9,iterlp2_full,43200,full,86.8,86,0.44721359549995715,1099.413536787033,1123.80022795917,1.0,5,43622.61529939622,508.33802279773585
DSJC250.9,slo,3,baseline,96.0,96,0.0,0.10631366516463456,0.03962589235129309,1.0,32,0.10631366516463456,0.03962589235129309
DSJC250.9,slo,43200,baseline,96.0,96,0.0,0.07612838745117181,0.0009450891892371456,1.0,5,0.07612838745117181,0.0009450891892371456
DSJC500.9,dsatur,3,baseline,170.0,170,0.0,4.953107574063798,2.17297467161228,1.0,23,4.953107574063798,2.17297467161228
DSJC500.9,iterlp2_full,3,full,172.0,172,0.0,0.0,0.0,1.0,23,218.42822412369043,148.07190548075232
DSJC500.9,slo,3,baseline,172.0,172,0.0,0.44440963378419046,0.1661600731105514,1.0,23,0.44440963378419046,0.1661600731105514
fpsol2.i.1,dsatur,6000,baseline,65.0,65,0.0,0.526358425617218,0.0010984453500728058,1.0,6,0.526358425617218,0.0010984453500728058
fpsol2.i.1,iterlp2_full,6000,full,65.0,65,0.0,0.0,0.0,1.0,6,6132.220083450277,15.54911829188746
fpsol2.i.1,slo,6000,baseline,65.0,65,0.0,0.027746528387069664,0.0004321634824415858,1.0,6,0.027746528387069664,0.0004321634824415858
inithx.i.1,dsatur,6000,baseline,54.0,54,0.0,1.5158282419045765,0.00441004927092923,1.0,6,1.5158282419045765,0.00441004927092923
inithx.i.1,iterlp2_full,6000,full,54.0,54,0.0,0.0,0.0,1.0,6,6768.406261203189,584.7405650671429
