instance,time_limit_sec,ablation,dsatur,iterlp2_full,slo
DSJC1000.9,3,baseline,299.0,,316.0
DSJC1000.9,60,baseline,299.0,,
DSJC1000.9,3,full,,316.0,
DSJC250.9,3,baseline,92.0,,96.0
DSJC250.9,43200,baseline,92.0,,96.0
DSJC250.9,3,full,,96.0,
DSJC250.9,43200,full,,86.8,
DSJC500.9,3,baseline,170.0,,172.0
DSJC500.9,3,full,,172.0,
fpsol2.i.1,6000,baseline,65.0,,65.0
fpsol2.i.1,6000,full,,65.0,
inithx.i.1,6000,baseline,54.0,,54.0
inithx.i.1,6000,full,,54.0,
myciel3,5,baseline,4.0,,4.0
myciel3,10,baseline,4.0,,4.0
myciel3,300,baseline,4.0,,4.0
myciel3,5,full,,4.0,
myciel3,10,full,,4.0,
myciel3,300,full,,4.0,
myciel4,5,baseline,5.0,,5.0
myciel4,10,baseline,5.0,,5.0
myciel4,300,baseline,5.0,,5.0
myciel4,5,full,,5.0,
myciel4,10,full,,5.0,
myciel4,300,full,,5.0,
myciel5,5,baseline,6.0,,6.0
myciel5,10,baseline,6.0,,6.0
myciel5,300,baseline,6.0,,6.0
myciel5,5,full,,6.0,
myciel5,10,full,,6.0,
myciel5,300,full,,6.0,
myciel6,300,baseline,7.0,,7.0
myciel6,300,full,,7.0,
myciel7,300,baseline,8.0,,8.0
myciel7,300,full,,8.0,
DSJC1000.9,3,baseline,299.0,,316.0
DSJC1000.9,60,baseline,299.0,,
DSJC1000.9,3,full,,316.0,
DSJC250.9,3,baseline,92.0,,96.0
DSJC250.9,43200,baseline,92.0,,96.0
DSJC250.9,3,full,,96.0,
DSJC250.9,43200,full,,86.0,
DSJC500.9,3,baseline,170.0,,172.0
DSJC500.9,3,full,,172.0,
fpsol2.i.1,6000,baseline,65.0,,65.0
fpsol2.i.1,6000,full,,65.0,
inithx.i.1,6000,baseline,54.0,,54.0
inithx.i.1,6000,full,,54.0,
myciel3,5,baseline,4.0,,4.0
myciel3,10,baseline,4.0,,4.0
myciel3,300,baseline,4.0,,4.0
myciel3,5,full,,4.0,
myciel3,10,full,,4.0,
myciel3,300,full,,4.0,
myciel4,5,baseline,5.0,,5.0
myciel4,10,baseline,5.0,,5.0
myciel4,300,baseline,5.0,,5.0
myciel4,5,full,,5.0,
myciel4,10,full,,5.0,
myciel4,300,full,,5.0,
myciel5,5,baseline,6.0,,6.0
myciel5,10,baseline,6.0,,6.0
myciel5,300,baseline,6.0,,6.0
myciel5,5,full,,6.0,
myciel5,10,full,,6.0,
myciel5,300,full,,6.0,
myciel6,300,baseline,7.0,,7.0
myciel6,300,full,,7.0,
myciel7,300,baseline,8.0,,8.0
myciel7,300,full,,8.0,
