__source_file,instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation,UB_mean,UB_min,UB_std,best_time_mean_sec,best_time_std_sec,count,dsatur,error,feasible_rate,iterlp2_full,last_update_ts,runs,runtime_mean_sec,runtime_std_sec,share,slo,status,win_count
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC1000.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,3,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC1000.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,full,,,,,,,,,,,,1,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC1000.9,,,,,,slo,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,1,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC250.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,37,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC250.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,full,,,,,,,,,,,,37,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC250.9,,,,,,slo,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,37,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC500.9,,,,,,dsatur,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,23,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC500.9,,,,,,iterlp2_full,,,,,,,,,,,,,,,,,,,full,,,,,,,,,,,,23,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,DSJC500.9,,,,,,slo,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,23,,,,,,
/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,fpsol2.i.1,,,,,,dsatur,,,,,,,,,,,,,,,,,,,baseline,,,,,,,,,,,,6,,,,,,
