instance,family,n,m,density,avg_deg,algo,algo_seed,time_limit_sec,init_heuristic,fix_policy,strong_margin,max_fix_per_round,restarts,perturb_y,LB,UB,gap,feasible,conflicts,runtime_sec,iters,stop_reason,best_time_sec,best_round,ablation
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,0,43200,,,,,,,34,92,58,True,0,0.40190601348876953,0,baseline,0.40190601348876953,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,1,43200,,,,,,,34,92,58,True,0,0.40252749621868134,0,baseline,0.40252749621868134,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,2,43200,,,,,,,34,92,58,True,0,0.4051932767033577,0,baseline,0.4051932767033577,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,3,43200,,,,,,,34,92,58,True,0,0.40269406884908676,0,baseline,0.40269406884908676,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,dsatur,4,43200,,,,,,,34,92,58,True,0,0.4023975357413292,0,baseline,0.4023975357413292,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,0,43200,,,,,,,34,96,62,True,0,0.07739154249429703,0,baseline,0.07739154249429703,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,1,43200,,,,,,,34,96,62,True,0,0.07664515823125839,0,baseline,0.07664515823125839,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,2,43200,,,,,,,34,96,62,True,0,0.07615600526332855,0,baseline,0.07615600526332855,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,3,43200,,,,,,,34,96,62,True,0,0.07541928440332413,0,baseline,0.07541928440332413,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,slo,4,43200,,,,,,,34,96,62,True,0,0.07502994686365128,0,baseline,0.07502994686365128,0,
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,0,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,86,52,True,0,43213.43044903129,31,time_limit,3107.6435635089874,3,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,1,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43788.978548802435,38,time_limit,604.802175283432,1,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,2,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,44429.95873134583,39,time_limit,525.3388431072235,1,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,3,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43223.36006091535,34,time_limit,669.3050048351288,1,full
DSJC250.9,dimacs,250,27897,0.896289156626506,223.176,iterlp2_full,4,43200,smallest_last,prefix_shrink+rounded_support,0.25,50,48,1e-06,34,87,53,True,0,43457.34870688617,34,time_limit,589.9780972003937,1,full
