instance,algo,runs,UB_min,UB_mean,runtime_mean_sec,best_time_mean_sec
myciel3,dsatur,1,4,4.0,0.00044879999995828257,0.00044879999995828257
myciel3,iterlp2_full,1,4,4.0,2.1456703379999453,0.0
myciel3,slo,1,4,4.0,0.00021820000029038056,0.00021820000029038056
myciel4,dsatur,1,5,5.0,0.0004681000000346103,0.0004681000000346103
myciel4,iterlp2_full,1,5,5.0,300.16667393199987,0.0
myciel4,slo,1,5,5.0,0.0003509999996822444,0.0003509999996822444
myciel5,dsatur,1,6,6.0,0.0017864999999801512,0.0017864999999801512
myciel5,iterlp2_full,1,6,6.0,300.3028456449997,0.0
myciel5,slo,1,6,6.0,0.0007120000000213622,0.0007120000000213622
myciel6,dsatur,1,7,7.0,0.008484400000270398,0.008484400000270398
myciel6,iterlp2_full,1,7,7.0,300.5218157070003,0.0
myciel6,slo,1,7,7.0,0.0021176999998715473,0.0021176999998715473
myciel7,dsatur,1,8,8.0,0.04239249900001596,0.04239249900001596
myciel7,iterlp2_full,1,8,8.0,302.0608118549999,0.0
myciel7,slo,1,8,8.0,0.0054570000002058805,0.0054570000002058805
